normalized_form	reading	japanese_text	english_text
落ち着く	オチツク	落ち着け！	Calm down.
ぞ	ゾ	撃つぞ。	I'm shooting.
勝つ	カツ	勝った？	Did I win?
た	タァ	勝ったぁ！	I won!
てく	テコッ	なんてこった！	Oh no!
何	ナン	何て？	What was that?
試す	タメス	試してみる。	I try.
トライ	トライ	トライします。	I'll try.
が	ガ	私が勝ち！	I won!
勝ち	カチ	私が勝ち！	I won!
私	ワタクシ	私よ！	It's me!
ち	ち	俺の勝ちー！	I won!
俺	オレ	俺だけ？	Is it just me?
こと	コト	何てことだ！	Oh no!
って	ッテ	何て？	What was that?
うわ	ウワ	うわ、しまった！	Oh no!
寛ぐ	クツログ	くつろいで。	Relax.
乾杯	カンパイ	乾杯！	Cheers!
楽	ラク	楽にしてね。	Take it easy.
起きる	オキル	起きろ！	Get up.
リラックス	リラックス	リラックスして。	Relax.
にっこり	ニッコリ	にっこり笑って。	Smile.
笑う	ワラウ	彼は笑った。	He laughed.
彼	カレ	彼は誰？	Who's he?
は	ハ	彼は誰？	Who's he?
買う	カウ	買って。	Buy it.
乗る	ノル	乗れよ。	Hop in.
さあ	サア	さあ乗って。	Hop in.
動く	ウゴク	動くな！	Freeze!
な	ナ	動くな！	Freeze!
直す	ナオス	直して。	Fix it.
捕まえる	ツカマエル	捕まえた。	Got it!
チーズ	チーズ	はい、チーズ。	Smile.
はい	ハイ	はいどうぞ。	Here it is.
とく	トク	どけ。	Get out of my way.
ゅ	ゅ	ぎゅーして。	Hug me.
ぎ	ギ	ぎゅーして。	Hug me.
抱き締める	ダキシメ	抱きしめて。	Hug me.
出発	シュッパツ	出発した。	I left.
てる	テル	起きてる？	Are you up?
てる	テ	黙ってて。	Shut up!
ます	マス	辞めます。	I resign.
負ける	マケル	負けない！	I won't lose!
目	メ	目が痛い。	My eyes hurt.
居る	イル	いる？	Are you in?
覚める	サメル	目は覚めています。	I'm up.
払う	ハラウ	払いました。	I paid.
聞く	キク	聞いて！	Listen.
元気	ゲンキ	元気？	How are you?
30	サンレイ	30数えて。	Count to thirty.
歳	サイ	１９歳です。	I'm 19.
大丈夫	ダイジョウブ	大丈夫？	Are you OK?
やめる	ヤメ	やめた。	I quit.
19	ジュウキュウ	１９歳です。	I'm 19.
辞める	ヤメル	辞めます。	I resign.
馬鹿	バカ	馬鹿な！	No way!
まさか	マサカ	まさか！	No way!
辞職	ジショク	辞職します。	I quit.
どう	ドウ	どうも！	Thanks!
も	モ	私も。	Me, too.
とんでも	トンデモ	とんでもない！	No way!
ます	マセ	すみません。	Excuse me.
ず	ン	すみません。	Excuse me.
有る	アル	鍵ある？	Do you have the key?
本当	ホントウ	本当？	Really?
に	ニ	本当に？	Really?
大きに	オオキニ	おおきに！	Thanks.
御座る	ゴザイ	伝言がございます。	You have a message.
有り難う	アリガトウ	ありがとう。	Thanks!
為る	スル	感謝する。	Thanks.
感謝	カンシャ	感謝する。	Thanks.
痣	アザ	あざっす！	Thanks!
お疲れ様	オツカレサマ	お疲れ様でした。	Good job!
無い	ナイ	変わりない？	What's up?
ぇ	ぇ	あり得ねぇー。	No way!
得る	ウル	ありえない！	That isn't what I believe.
ない	ネ	あり得ねぇー。	No way!
本気	ホンキ	本気？	Really?
まじ	マジ	マジか。	Really?
ばか	バカ	バカだ。	That's so stupid.
そんな	ソンナ	そんなバカな！	No way!
食べる	タベル	食べた。	We ate.
トム	トム	トムだ。	It's Tom.
僕	ボク	僕だよ！	It's me!
私達	ワタシタチ	次は私たちよ。	We're next.
おる	オリ	伝言が届いております。	You have a message here.
努力	ドリョク	彼女の努力がみのった。	Her efforts bore fruit.
等	トウ	彼らは青い。	They're green.
御覧	ゴラン	笑ってごらん。	Try to smile.
すっ	スッ	すっげー！	Awesome!
げ	げ	すっげー！	Awesome!
素晴らしい	スバラシイ	素晴らしい！	Awesome!
良い	イイ	いいね。	That sounds awesome.
子	コ	悪い子ね！	You're bad.
凄い	スゲー	すげー。	Awesome.
冷静	レイセイ	冷静に。	Be cool.
優しい	ヤサシイ	優しい人です。	He is kind.
行儀	ギョウギ	行儀よくしなさい。	Behave yourself.
御	ゴ	お見事！	Good job!
入る	ハイル	入って。	Come in.
出る	デル	出ろ！	Get out!
連絡	レンラク	連絡してね。	Keep in touch.
頂戴	チョウダイ	飴ちょうだい。	I want some candy.
入れ	イレ	入れ！	Come in.
電話	デンワ	電話です。	There's a call for you.
おい	オイ	おいで。	Come on.
大人しい	オトナシイ	おとなしくしなさい。	Be good.
どっ	ドッ	どっか行け。	Beat it.
連れる	ツレル	トムを連れてきて。	Get Tom.
てく	テケ	出てけ！	Get out!
ゆっくり	ユックリ	ゆっくり歩け。	Walk slowly.
外	ソト	外に出ろ。	Get out.
向こう	ムコウ	向こうへ行け！	Go away.
へ	ヘ	外へ出たい。	I want to go outside.
離れる	ハナレル	離れろ。	Go away!
慌てる	アワテル	慌てるな！	Don't panic.
ない	ナイ	来ないで。	Don't come.
消え失せる	キエウセロ	消え失せろ。	Go away.
彼方	カナタ	あっちへ行け！	Go away!
さようなら	サヨナラ	さようなら！	Goodbye!
帰る	カエル	帰ろう。	Let's go home.
手伝う	テツダウ	手伝って。	Help me.
バイバイ	バイバイ	バイバイ。	Goodbye.
あばよ	アバヨ	あばよ。	Goodbye.
殴る	ナグル	トムを殴れ。	Hit Tom.
ハグ	ハグ	ハグしない？	How about a hug?
同感	ドウカン	同感です。	I agree.
じっと	ジット	じっとして！	Hold it!
賛成	サンセイ	賛成。	I approve.
やあ	ヤ	やぁ、トム。	Hi, Tom.
思う	オモウ	そう思う。	I think so.
同意	ドウイ	同意する。	I agree.
タバコ	タバコ	タバコが煙い！	Your smoking bothers me.
吸う	スウ	紙は油を吸うよ。	Paper absorbs oil.
悲しい	カナシイ	悲しい。	How sad!
全く	マッタク	全くですね。	You're quite right.
と	ト	重たぁ。	It's heavy.
申す	モウス	トムと申します。	I'm Tom.
太る	フトル	太りたいの？	Do you want to put on weight?
もう	モウ	もう一回。	Once again.
年	トシ	もう年だよ。	I feel my age.
行く	イク	行くよ。	I'll go.
言う	ユウ	何も言うな。	Say nothing.
でぶ	デブ	俺はデブだ。	I'm fat.
思案	シアン	私は引っ込み思案です。	I'm shy.
引っ込み	ヒッコミ	私は引っ込み思案です。	I'm shy.
開ける	アケル	開けろ。	Open up.
パーフェクト	パーフェクト	パーフェクト！	Perfect!
完璧	カンペキ	完璧！	Perfect!
取る	トル	それ取って。	Give me that.
おく	オイ	取っておいて。	Keep it.
又	マタ	また明日。	See you tomorrow.
会う	アウ	会いたい。	I want to see you.
仲間	ナカマ	仲間になって。	Join us.
成る	ナル	よくなった？	Is that better?
ねえ	ネッ	じゃ、またねっ！	See you.
で	ジャア	じゃあな。	See you.
ばっちり	バッチリ	バッチリ！	Perfect!
ああん	アーン	あーんして。	Say aah.
見せる	ミセル	見せて。	Show me.
黙る	ダマル	黙ってて。	Shut up!
一寸	チョット	一寸先は闇。	No one knows what the future holds.
教える	オシエル	教えて。	Tell me.
片付ける	カタヅケル	それ片づけて。	Pick it up.
此れ	コレ	これ何？	What's this?
覚ます	サマス	目を覚ませよ！	Wake up!
おく	オケ	やめておけ。	Skip it.
加減	カゲン	いいかげんにして。	Stop it.
知る	シル	知らない。	I don't know.
達	トオル	あの人たちは誰？	Who are they?
僕達	ボクタチ	僕たちは知ってる。	We know.
手	テ	汚い手ね。	You have dirty hands.
洗う	アラウ	洗ってきて。	Go wash up.
ようこそ	ヨウコソ	ようこそ。	Welcome.
いらっしゃる	イラッシャイ	いらっしゃい。	Welcome.
顔	カオ	顔赤いよ。	You're blushing.
駄目	ダメ	駄目です。	It's no good.
君	キミ	君が走れ。	You run.
是非	ゼヒ	ぜひそうしよう。	Why not?
為る	シヨウ	結婚しよう。	Let's get married.
貴方	アナタ	あんた変だよ。	You're weird.
てる	デ	飲んでたの？	Were you drinking?
引っ込む	ヒッコム	引っ込んでて！	Back off!
何故	ナゼ	なぜ今やめる？	Why quit now?
御前	オマエ	お前正気か？	Are you nuts?
下がる	サガル	下がって。	Step back.
なれる	ナレヨ	男になれよ。	Be a man.
男	オトコ	男になれよ。	Be a man.
静か	シズカ	静かに！	Be quiet.
少し	スコシ	少し疲れた。	I'm a bit tired.
出す	ダス	金を出せ。	Give me your money.
勇気	ユウキ	勇気を出して。	Be brave.
呼ぶ	ヨブ	トムを呼んで。	Call Tom.
冷やす	ヒヤス	頭を冷やせ。	Cool off!
探す	サガス	出口を探そう。	Let's find the exit.
床	ユカ	床に伏せろ！	Get down!
見付ける	ミツケル	見つけた！	I found it.
見事	ミゴト	お見事！	Good job!
楽しむ	タノシム	楽しんでね。	Have fun.
先	サキ	一寸先は闇。	No one knows what the future holds.
どうぞ	ドウゾ	どうぞ。	Here you are.
話す	ハナス	話してよ！	Talk to me!
考える	カンガエル	考えとくよ。	I'll think it over.
良く	ヨク	よく聞け！	Listen up.
皆	ミナ	みんな嫌い。	I hate everyone.
可愛い	カワイイ	かわいい！	How cute!
なんて	ナンテ	なんて言ったの？	What did you say?
忘れる	ワスレル	忘れた。	I forgot.
失敬	シッケイ	失敬な！	How rude!
深い	ブカイ	僕は注意深い。	I'm careful.
どの	ドノ	どのくらい深い？	How deep?
くらい	クライ	どのくらい深い？	How deep?
起き上がる	オキアガル	僕は起きあがった。	I got up.
失敗	シッパイ	失敗した。	I failed.
了解	リョウカイ	了解。	I got it.
しくじる	シクジル	しくじった。	I failed.
使う	ツカウ	頭を使え。	Use your head.
こう	コウ	こうしようよ。	Let's do it this way.
其れ	ソレ	それ何？	What is it?
ます	マショウ	食べましょう。	Let's eat.
驕り	オゴリ	私のおごりだ。	I'll pay.
忙しい	イソガシイ	私は忙しい。	I'm busy.
欠伸	アクビ	あくびをした。	I yawned.
ちゃう	チャウ	ちゃう！	That's not it.
いかす	イカシ	俺はいかしてる。	I'm cool.
御馳走	ゴチソウ	ごちそうさま。	I'm done.
様	ヨウ	何てざまだ。	What a mess!
クール	クール	俺はクールだ。	I'm cool.
公平	コウヘイ	私は公平だ。	I'm fair.
平気	ヘイキ	平気だよ。	I'm fine.
暇	ヒマ	いま暇？	Are you free now?
身	ミ	自由の身ね。	You're a free man.
自由	ジユウ	自由の身ね。	You're a free man.
満腹	マンプク	もう満腹です。	I'm full.
此処	ココ	ここだよ。	I'm here.
時間	ジカン	時間終了。	Time's up.
さ	サ	勝てるさ。	We'll win.
一杯	イッパイ	一杯どう？	How about a drink?
御腹	オナカ	お腹痛い。	My tummy hurts.
道	ミチ	道を渡った。	I crossed the street.
迷う	マヨウ	迷っていた。	I was lost.
病気	ビョウキ	病気です。	I'm sick.
妙	ミョウ	妙だな。	It's odd.
貧乏	ビンボウ	私は貧乏です。	I'm poor.
リッチ	リッチ	リッチです。	I'm rich.
茶	チャ	お茶です。	It's tea.
新しい	アタラシイ	それ、新しい車？	Is that a new car?
背	セ	私は背が高い。	I'm tall.
高い	タカイ	金は高い。	Gold is expensive.
痛い	イタイ	痛い。	It hurts.
立ち入り	タチイリ	立ち入りを禁ず。	Keep out.
ず	ズ	この恥知らず！	Shame on you!
禁	キン	立ち入りを禁ず。	Keep out.
大きい	オオキイ	大きいね。	It's big.
おく	オキ	覚えておきます。	I'll remember that.
放る	ホウル	放っておけ。	Leave it.
まあ	マア	まあ見てなよ。	You'll see.
結婚	ケッコン	結婚しよう。	Let's get married.
止める	トメル	もう止めて！	Now stop!
ストップ	ストップ	ストップって言ってね。	Say when.
馬鹿馬鹿しい	バカバカシイ	ばかばかしい。	Nonsense!
立つ	タツ	立ちなさい。	Stand up!
起立	キリツ	起立！	Stand up!
危ない	アブナイ	危ない！	Look out!
はっきり	ハッキリ	はっきり言えよ。	Get to the point.
座る	スワル	座れた？	Were you able to sit down?
馬鹿げる	バカゲ	馬鹿げている！	Nonsense!
伝える	ツタエル	トムに伝えて。	Tell Tom.
死ぬ	シヌ	死にたい。	I want to die.
泣く	ナク	泣けるぅ。	How touching!
つく	ツイ	私についてきて。	Follow me.
嘘	ウソ	嘘つけ！	You're lying.
1	イチ	一つは青。	One is blue.
精	セイ	精一杯やってみろ。	Do the best you can.
杯	サカズキ	１杯おごろう。	Let me buy you a drink.
過ぎる	スギル	遅すぎる。	Too late.
遅い	オソイ	遅すぎる。	Too late.
去る	サル	トムはさった。	Tom left.
流す	ナガス	トムは涙を流した。	Tom wept.
涙	ナミダ	涙が出そう。	My eyes are watering.
つく	ツク	嘘をつくな。	Don't lie.
信用	シンヨウ	彼を信用するな。	Don't trust him.
任せる	マカセル	任せて！	Trust me!
落ちる	オチル	葉が落ちた。	The leaves fell.
答える	コタエル	何問答えた？	How many questions did you answer?
質問	シツモン	よい質問だ。	It's a good question.
一致	イッチ	意見が一致している。	We agree.
意見	イケン	同意見です。	I agree with you.
為	タメ	何のために？	What for?
謝る	アヤマル	謝った。	I apologized.
警告	ケイコク	トムに警告する。	Warn Tom.
家	イエ	家に来て。	Come home.
次	ツギ	次は誰。	Who's next?
鳥	トリ	鳥は飛ぶ。	Birds fly.
落ち着ける	オチツケ	落ちつけよ。	Calm down.
此方	コチラ	こちらこそ。	The pleasure is mine.
来る	クル	誰か来る。	Someone's coming.
直ぐ	スグ	すぐ来て。	Come soon.
今	イマ	今食事中。	I'm eating.
失礼	シツレイ	どうも失礼。	I'm sorry.
すむ	スミ	すみません。	Excuse me.
願う	ネガウ	ご乗車願います！	All aboard!
一度	イチド	もう一度やって。	Do it again.
ちまう	チマエ	忘れちまえ！	Forget it!
すむ	スイ	すいません。	Excuse me.
あの	アノ	あの人誰？	Who is that man?
寝る	ネル	寝たら？	Why don't you go to bed?
DJ	ディージェー	彼はＤＪです。	He's a DJ.
おやすみなさい	オヤスミナサイ	おやすみなさい。	Goodnight.
ドル	ドル	３ドルです。	It costs three dollars.
5	ゴ	もう５時？	Is it five already?
機嫌	キゲン	機嫌悪いの？	What's the matter?
触る	サワル	触るな！	Hands off.
怖い	コワイ	怖いよ。	I'm afraid.
尻	シリ	彼は尻が重い。	He's lazy.
重い	オモイ	重いですよ。	It's heavy.
景気	ケイキ	景気はどう？	How goes it?
其の	ソノ	その通り！	That's right!
確信	カクシン	絶対に確信ある？	Are you absolutely sure?
出来る	デキル	できた？	Is it done?
残念	ザンネン	残念！	What a pity!
らしい	ラシイ	雨らしい。	It feels like rain.
ながら	ナガラ	我ながら、完璧だね。	It's perfect, if I do say so myself.
失う	ウシナウ	希望を失った。	We lost hope.
気	キ	気をつけて！	Take care!
確か	タシカ	確かだよ。	I am sure.
スキー	スキー	スキーは滑る？	Do you ski?
負け	マケ	私の負けだ。	I give in.
お手上げ	オテアゲ	お手上げだ。	I give up.
降参	コウサン	降参します。	I give up.
参る	マイル	参りました。	I give up.
拍手	ハクシュ	私は拍手した。	I clapped.
怒る	オコル	怒った？	Are you mad?
濡れる	ヌレル	濡れちゃった。	I got wet.
好き	スキ	それ好き。	I like it.
けれど	ケド	持ってないけど。	I don't have it.
気付く	キヅク	気づいてた？	Did you notice that?
て	チャ	行かなくちゃ。	I must go.
ない	ナク	行かなくちゃ。	I must go.
読む	ヨム	読んだよ。	I read it.
叩く	タタク	トムを叩いた。	I hit Tom.
約束	ヤクソク	約束する？	Do you promise?
ば	バ	違うってば。	I said no.
違う	チガウ	違う。	That's wrong.
楽しい	タノシイ	楽しかった。	I had fun.
筈	ハズ	本当の筈がない。	It can't be true.
見える	ミエル	家が見える。	I see a house.
怒り狂う	イカリクルッ	トムは怒り狂った。	Tom got furious.
欲しい	ホシイ	君が欲しい。	I want you.
手伝い	テツダイ	お手伝いします。	We'll help you.
通る	トオル	私は通ります。	I'll pass.
一人	ヒトリ	一人だ。	I'm alone.
退屈	タイクツ	退屈そうだね。	You look bored.
警官	ケイカン	警官なの？	Are you cops?
文無し	モンナシ	文無しなんだ。	I'm broke.
酔う	ヨウ	酔った。	I'm dizzy.
清潔	セイケツ	私は清潔だ。	I'm clean.
几帳面	キチョウメン	私は几帳面なんだ。	I'm fussy.
金欠	キンケツ	金欠なんだ。	I'm broke.
幸福	コウフク	幸福って何？	What is happiness?
幸せ	シアワセ	お幸せに！	I wish you all the best.
細かい	コマカイ	私は細かいんだ。	I'm fussy.
くらくら	クラクラ	くらくらする。	I'm dizzy.
一番	イチバン	私が一番。	I'm first.
勇敢	ユウカン	私は勇敢だ。	I'm brave.
潔白	ケッパク	私は潔白だ。	I'm clean.
準備	ジュンビ	準備完了！	Everything's ready.
冴える	サエル	私って冴えてる！	I'm smart.
御免	ゴメン	御免なさい。	I'm sorry.
疲れる	ツカレル	疲れた？	Are you tired?
な	ナア	いいなあ。	I envy you.
た	ター	疲れたー。	I'm tired.
くたくた	クタクタ	クタクタだよ。	I'm tired.
な	ナァ	眠いなぁ。	I'm sleepy.
眠い	ネムイ	眠い。	I'm tired.
若い	ワカイ	若そう。	He looks young.
辛い	ツライ	辛い？	Is it hot?
暑い	アツイ	暑い？	Is it hot?
7	ナナ	今７時です。	It is seven now.
45	ヨンゴ	７時４５分です。	It's 7:45.
時	トキ	もう５時？	Is it five already?
分	ブン	3分で戻るよ。	I'll be back in three minutes.
新品	シンピン	これは新品よ。	This is new.
遠い	トオイ	ここから遠いの？	Is it far from here?
そこ	ソコ	そこにいて。	Stay there.
旨い	ウマイ	うまく行った！	It worked.
3	サン	３時半です。	It's 3:30.
時半	ジハン	３時半です。	It's 3:30.
超	チョウ	超臭いよ。	It stinks.
臭い	クサイ	超臭いよ。	It stinks.
2	ニ	2時半です。	It's 2:30.
熱い	アツイ	熱い？	Is it hot?
為る	シロ	無視しろ。	Ignore it.
無視	ムシ	無視しろ。	Ignore it.
格好	カッコウ	カッコいい！	It's cool.
絶交	ゼッコウ	絶交だ。	It's done.
寒	カン	寒っ！	It's cold.
テレビ	テレビ	テレビみようよ。	Let's watch TV.
9	キュウ	猫に九生あり。	A cat has nine lives.
15	ジュウゴ	９時１５分です。	It's 9:15.
寒い	サムイ	寒い。	It's cold.
無料	ムリョウ	無料です。	It's free.
只	タダ	タダですよ。	It's free.
楽勝	ラクショウ	楽勝だよ。	It's easy.
大変	タイヘン	大変である。	It's hard.
近付く	チカヅク	近づくな！	Keep away.
あたたかい	アッタカク	あったかくしてなさい。	Keep warm.
ワイン	ワイン	ワインです。	It's wine.
仕事	シゴト	仕事はどう？	How's work?
せる	セ	手伝わせて。	Let me help.
入れる	イレル	中に入れて。	Let me in.
中	ナカ	今食事中。	I'm eating.
えーと	エット	えっと。	Let me see.
為る	サ	解雇された。	We got fired.
参加	サンカ	参加したい。	I want to participate.
後ろ	ウシロ	後ろを見ろ。	Look back!
勿論	モチロン	もちろん！	Of course!
アー	アー	「アー」といってください。	Say "aah."
下	シタ	下を見ろ。	See below.
参照	サンショウ	前述参照のこと。	See above.
前述	ゼンジュツ	前述参照のこと。	See above.
上記	ジョウキ	上記をご覧ください。	See above.
彼女	カノジョ	彼女は泣いた。	She cried.
サイン	サイン	ここでサインして。	Sign here.
退く	シリゾク	どいてろ。	Stay away.
よう	ヨウ	よう言うわ。	You can't be serious.
落とす	オトス	銃を落とせ。	Drop your guns!
スピード	スピード	スピードを落とせ！	Slow down!
座り	スワリ	そこにお座り。	Sit there.
留まる	トドマリ	家にとどまりなさい。	Stay home.
ちゃんと	チャント	ちゃんとやって。	Do it right.
用心	ヨウジン	用心しなさい。	Take care!
大事	ダイジ	お大事に。	Take care.
つける	ツケ	嘘つけ！	You're lying.
付ける	ツケル	気を付けてね。	Take care.
体	カラダ	体中が痛い。	I ache all over.
大切	タイセツ	お体を大切に。	Take care.
図星	ズボシ	図星です。	That's it.
終了	シュウリョウ	時間終了。	Time's up.
礼	レイ	トムは礼をした。	Tom bowed.
御辞儀	オジギ	トムはお辞儀をした。	Tom bowed.
挑戦	チョウセン	トムは挑戦する。	Tom tries.
眠る	ネムル	眠りなさい。	Go to sleep.
引っ越す	ヒッコス	引っ越すの？	Are we moving?
料理	リョウリ	料理は得意？	Are you a good cook?
運転	ウンテン	君が運転して。	You drive.
編み物	アミモノ	トムは編み物をする。	Tom knits.
飲む	ノム	何か飲む？	Want a drink?
ふる	フッ	トムは手をふった。	Tom waved.
振る	フル	サイを振れ。	Roll the dice.
1度	イチド	もう１度、お願い。	Once more, please.
曲がる	マガル	左に曲がって。	Turn left.
左	ヒダリ	左に曲がって。	Turn left.
屋	ヤ	うぬぼれ屋さんね。	You have a big head.
がる	ガル	トムは怖がりだ。	Tom is easily scared.
恥ずかしい	ハズカシイ	恥ずかしいなぁ！	How embarrassing!
一回	イチカイ	もう一回。	Once again.
鍵	カギ	鍵ある？	Do you have the key?
成功	セイコウ	成功だ！	We did it!
上出来	ジョウデキ	上出来！	Well done!
起こる	オコル	何が起こったの？	What happened?
もん	モン	知るもんか。	Who cares?
どなた	ドナタ	どなた？	Who is it?
変わり	カワリ	変わりない？	What's up?
分かる	ワカル	分かる。	I understand.
首	クビ	クビになった。	We got fired.
間違う	マチガウ	私、間違ってた？	Was I wrong?
18	ジュウハチ	１８歳ですか？	Are you 18?
書く	カク	書き続けて。	Keep writing.
手紙	テガミ	はい、手紙。	Here's a letter for you.
さん	サン	新人さんなの？	Are you new?
正しい	タダシイ	私、正しい？	Am I right?
乗車	ジョウシャ	ご乗車願います！	All aboard!
周り	マワリ	彼は周りを見渡した。	He looked around.
人	ヒト	あの人誰？	Who is that man?
歌う	ウタウ	歌える。	I can sing.
ふざける	フザケル	ふざけないで。	Be serious.
辛抱	シンボウ	辛抱しなさい。	Be patient.
遅れる	オクレル	遅れます。	I'll be late.
真面目	マジメ	真面目におやり。	Be serious.
運ぶ	ハコブ	これ運んで。	Carry this.
鳴く	ナク	鳥は鳴く。	Birds sing.
選ぶ	エラブ	一つ選んで。	Choose one.
つ	ツ	一つは青。	One is blue.
囀る	サエズル	鳥が囀る。	Birds sing.
確認	カクニン	これ確認してみて。	Check this.
一緒	イッショ	一緒に来て。	Come with me.
混ぜる	マゼル	混ぜて。	Deal me in.
好い加減	イイカゲン	いい加減にしろよ。	Cut it out.
滑る	スベル	スキーは滑る？	Do you ski?
押す	オス	押すなよ。	Don't push.
満タン	マンタン	満タンにしてください。	Fill it up.
ベッド	ベッド	ベッドへいけ。	Get to bed.
燃える	モエル	火は燃える。	Fire burns.
火	ヒ	火を消せ。	Put out the fire.
事	コト	厄介な事だ。	It's a difficult matter.
許し	ユルシ	お許しを。	Forgive us.
後	アト	また後で。	I'll see you later.
つける	ツケロ	後をつけろ。	Follow him.
玩具	ガング	おもちゃ、直して。	Fix my toy.
従う	シタガウ	トムに従え。	Follow Tom.
諦める	アキラメル	諦めろ。	Give it up.
許す	ユルス	許して。	Forgive me.
存在	ソンザイ	神は存在する。	God exists.
神	カミ	神は存在する。	God exists.
外食	ガイショク	彼は外食した。	He ate out.
親切	シンセツ	彼女は親切だ。	She is kind.
うそ	ウソ	うそを言うな。	Don't tell lies.
利口	リコウ	利口だね。	He's smart.
あっ	アッ	あ、雪だ！	Hey, it's snowing.
ほら	ホラ	ほら財布だ。	Here's my wallet.
賢い	カシコイ	賢い！	How clever!
立ち上がる	タチアガル	立ち上がるの手伝って。	Help me up.
悲惨	ヒサン	悲惨！	How tragic!
温める	アタタメル	温めて。	Heat it up.
上がる	アガル	上にあがるね。	I'm going upstairs.
認める	ミトメル	それは認める。	I admit it.
壊す	コワス	私が壊した。	I broke it.
人間	ニンゲン	朝型人間？	Are you a morning person?
残る	ノコル	私は残れます。	I can stay.
歩く	アルク	歩ける。	I can walk.
覚悟	カクゴ	私は覚悟ができている。	I am ready.
作る	ツクル	それ作れる？	Can you make it?
泳ぐ	オヨグ	彼は泳ぐのが怖い。	He is afraid of swimming.
れる	レ	解雇された。	We got fired.
歌	ウタ	歌が歌える。	I can sing.
羨ましい	ウラヤマシイ	羨ましい！	I envy you.
反対	ハンタイ	反対です。	I disagree.
老い	オイ	老いを感じる。	I feel old.
感じる	カンジル	何か感じる。	I feel something.
気分	キブン	気分が悪い。	I feel bad.
悪い	ワルイ	悪い子ね！	You're bad.
見付かる	ミツカル	見つかったよ。	I found it.
嫌い	キライ	猫が嫌い。	I hate cats.
パイ	パイ	パイが好き。	I like pie.
別れる	ワカレル	トムと別れるの？	Are you breaking up with Tom?
大好き	ダイスキ	大好きだよ！	I love you.
恋	コイ	恋かな？	Is that love?
寂しい	サビシイ	寂しいわ。	I'm lonely.
た	タラ	寝たら？	Why don't you go to bed?
必要	ヒツヨウ	君が必要だ。	I need you.
方	ホウ	どんな方なの？	What is he like?
ゆったり	ユッタリ	ゆったりした。	I was calm.
パニクる	パニクッ	パニクったわ。	I panicked.
吐く	ハク	吐きそう。	I think I'm going to throw up.
傷付く	キズツク	傷ついた。	I was hurt.
無礼	ブレイ	私は無礼だった。	I was rude.
体調	タイチョウ	体調が悪いの？	Are you sick?
崩す	クズス	体調を崩してた。	I was sick.
弱い	ヨワイ	トムは弱い。	Tom's weak.
気味	キミ	貧血気味です。	I'm anemic.
貧血	ヒンケツ	貧血気味です。	I'm anemic.
運動	ウンドウ	運動した。	I exercised.
双子	フタゴ	私は双子です。	I'm a twin.
てる	デル	急いでるの？	Are you in a rush?
から	カラ	だから何？	What's your point?
狼	オオカミ	私は狼だ。	I'm a wolf.
先入観	センニュウカン	私は先入観に縛られている。	I'm biased.
縛る	シバル	彼は手足を縛られていた。	He was bound hand and foot.
食事	ショクジ	今食事中。	I'm eating.
腹	ハラ	腹減った。	I'm hungry.
減る	ヘル	腹減った。	I'm hungry.
ぺこぺこ	ペコペコ	おなかペコペコだ。	I'm hungry.
すく	スイ	お腹がすいた。	I'm hungry!
単刀直入	タントウチョクニュウ	私は単刀直入なんです。	I'm direct.
いま	イマ	いま暇？	Are you free now?
